,date,amount,results,category,description
0,2023-01-02,287,loss,healthcare,milk and eggs
1,2023-01-03,32,loss,healthcare,fruits and vegetables
2,2023-01-04,927,profit,entertainment,new shoes
3,2023-01-05,483,profit,bills,fruits and vegetables
4,2023-01-06,104,profit,clothing,milk and eggs
5,2023-01-07,963,profit,bills,taxi ride
6,2023-01-08,706,loss,entertainment,taxi ride
7,2023-01-09,395,profit,entertainment,pizza delivery
8,2023-01-10,782,profit,healthcare,milk and eggs
9,2023-01-11,443,profit,clothing,bread and cheese
10,2023-01-12,661,profit,education,bus fare
11,2023-01-13,208,profit,bills,pizza delivery
12,2023-01-14,448,profit,transportation,fruits and vegetables
13,2023-01-15,411,profit,transportation,prescription drugs
14,2023-01-16,684,profit,income,milk and eggs
15,2023-01-17,43,profit,healthcare,bus fare
16,2023-01-18,149,profit,groceries,milk and eggs
17,2023-01-19,344,profit,groceries,taxi ride
18,2023-01-20,803,loss,income,fruits and vegetables
19,2023-01-21,685,profit,education,milk and eggs
20,2023-01-22,654,loss,income,milk and eggs
21,2023-01-23,401,profit,bills,milk and eggs
22,2023-01-24,454,loss,clothing,internet bill
23,2023-01-25,85,profit,income,prescription drugs
24,2023-01-26,40,profit,groceries,new shoes
25,2023-01-27,992,loss,bills,milk and eggs
26,2023-01-28,671,loss,clothing,online course
27,2023-01-29,-5,profit,income,electricity bill
28,2023-01-30,381,loss,groceries,bread and cheese
29,2023-01-31,966,profit,income,internet bill
30,2023-02-01,-9,profit,healthcare,prescription drugs
31,2023-02-02,583,profit,education,online course
32,2023-02-03,-8,loss,bills,internet bill
33,2023-02-04,-93,loss,education,salary
34,2023-02-05,31,profit,healthcare,electricity bill
35,2023-02-06,206,profit,income,bread and cheese
36,2023-02-07,153,profit,clothing,movie tickets
37,2023-02-08,579,profit,income,internet bill
38,2023-02-09,331,profit,transportation,bread and cheese
39,2023-02-10,571,profit,education,bread and cheese
40,2023-02-11,692,profit,healthcare,fruits and vegetables
41,2023-02-12,420,profit,transportation,taxi ride
42,2023-02-13,351,profit,clothing,pizza delivery
43,2023-02-14,-150,profit,healthcare,taxi ride
44,2023-02-15,-296,profit,clothing,internet bill
45,2023-02-16,637,profit,bills,online course
46,2023-02-17,95,loss,income,bus fare
47,2023-02-18,717,profit,income,online course
48,2023-02-19,-106,profit,healthcare,prescription drugs
49,2023-02-20,81,profit,bills,taxi ride
50,2023-02-21,783,loss,transportation,online course
51,2023-02-22,-221,profit,entertainment,online course
52,2023-02-23,183,profit,healthcare,fruits and vegetables
53,2023-02-24,880,loss,healthcare,taxi ride
54,2023-02-25,753,profit,transportation,fruits and vegetables
55,2023-02-26,-280,profit,entertainment,pizza delivery
56,2023-02-27,73,profit,entertainment,new shoes
57,2023-02-28,-147,profit,entertainment,milk and eggs
58,2023-03-01,353,loss,bills,salary
59,2023-03-02,811,profit,clothing,prescription drugs
60,2023-03-03,-103,loss,education,milk and eggs
61,2023-03-04,-219,loss,healthcare,milk and eggs
62,2023-03-05,443,profit,bills,milk and eggs
63,2023-03-06,231,profit,bills,electricity bill
64,2023-03-07,-207,profit,transportation,movie tickets
65,2023-03-08,582,profit,healthcare,taxi ride
66,2023-03-09,-104,profit,income,prescription drugs
67,2023-03-10,828,profit,entertainment,salary
68,2023-03-11,703,profit,bills,electricity bill
69,2023-03-12,529,profit,education,prescription drugs
70,2023-03-13,-239,profit,income,taxi ride
71,2023-03-14,280,profit,clothing,prescription drugs
72,2023-03-15,720,profit,entertainment,internet bill
73,2023-03-16,-260,profit,education,taxi ride
74,2023-03-17,92,loss,clothing,salary
75,2023-03-18,851,profit,income,bus fare
76,2023-03-19,-176,loss,groceries,new shoes
77,2023-03-20,398,loss,income,bus fare
78,2023-03-21,59,profit,clothing,bread and cheese
79,2023-03-22,618,loss,clothing,internet bill
80,2023-03-23,-46,profit,groceries,bread and cheese
81,2023-03-24,-135,profit,entertainment,prescription drugs
82,2023-03-25,775,profit,bills,salary
83,2023-03-26,-10,profit,income,bread and cheese
84,2023-03-27,623,profit,entertainment,taxi ride
85,2023-03-28,411,profit,transportation,prescription drugs
86,2023-03-29,364,profit,entertainment,bread and cheese
87,2023-03-30,983,profit,bills,bus fare
88,2023-03-31,288,profit,entertainment,bus fare
89,2023-04-01,738,profit,bills,electricity bill
90,2023-04-02,472,profit,clothing,new shoes
91,2023-04-03,958,profit,bills,bread and cheese
92,2023-04-04,339,profit,clothing,internet bill
93,2023-04-05,133,profit,bills,taxi ride
94,2023-04-06,668,profit,entertainment,bread and cheese
95,2023-04-07,190,profit,transportation,fruits and vegetables
96,2023-04-08,930,profit,clothing,taxi ride
97,2023-04-09,259,profit,transportation,salary
98,2023-04-10,322,profit,income,taxi ride
99,2023-04-11,760,loss,income,taxi ride
100,2023-04-12,371,profit,entertainment,salary
101,2023-04-13,-32,profit,income,milk and eggs
102,2023-04-14,31,loss,transportation,electricity bill
103,2023-04-15,169,loss,income,internet bill
104,2023-04-16,375,profit,healthcare,milk and eggs
105,2023-04-17,-259,profit,transportation,salary
106,2023-04-18,968,profit,healthcare,online course
107,2023-04-19,-45,profit,groceries,bus fare
108,2023-04-20,496,profit,entertainment,internet bill
109,2023-04-21,706,profit,clothing,new shoes
110,2023-04-22,546,loss,bills,movie tickets
111,2023-04-23,158,profit,bills,bread and cheese
112,2023-04-24,631,profit,transportation,milk and eggs
113,2023-04-25,555,profit,healthcare,salary
114,2023-04-26,159,profit,education,fruits and vegetables
115,2023-04-27,496,profit,entertainment,new shoes
116,2023-04-28,-41,profit,income,pizza delivery
117,2023-04-29,-7,loss,bills,salary
118,2023-04-30,779,profit,bills,movie tickets
119,2023-05-01,-66,profit,bills,milk and eggs
120,2023-05-02,790,profit,healthcare,online course
121,2023-05-03,620,profit,bills,salary
122,2023-05-04,911,loss,transportation,movie tickets
123,2023-05-05,-50,loss,groceries,salary
124,2023-05-06,682,profit,clothing,taxi ride
125,2023-05-07,72,profit,income,movie tickets
126,2023-05-08,631,profit,education,electricity bill
127,2023-05-09,804,profit,income,taxi ride
128,2023-05-10,-135,profit,bills,fruits and vegetables
129,2023-05-11,288,loss,transportation,bread and cheese
130,2023-05-12,780,profit,healthcare,milk and eggs
131,2023-05-13,971,profit,bills,fruits and vegetables
132,2023-05-14,676,profit,groceries,movie tickets
133,2023-05-15,-178,loss,education,internet bill
134,2023-05-16,278,profit,education,movie tickets
135,2023-05-17,807,loss,healthcare,pizza delivery
136,2023-05-18,311,profit,healthcare,pizza delivery
137,2023-05-19,48,loss,education,fruits and vegetables
138,2023-05-20,200,loss,groceries,milk and eggs
139,2023-05-21,-5,profit,entertainment,pizza delivery
140,2023-05-22,905,profit,income,milk and eggs
141,2023-05-23,-175,profit,clothing,salary
142,2023-05-24,-144,loss,groceries,electricity bill
143,2023-05-25,697,profit,entertainment,new shoes
144,2023-05-26,619,profit,clothing,salary
145,2023-05-27,664,loss,clothing,internet bill
